n_cars,mean_avg_v,std_avg_v,max_jam_count
16,10.811361770826263,0.017365448368048014,0.0
18,9.550955407115547,0.01022593647786707,0.0
20,8.337514467227926,0.007815267777432286,0.0
22,7.2240570612600425,0.0074889671177903435,0.0
24,6.20635839199617,0.008436140630148128,0.0
26,5.32014289504901,0.008289370209893449,8.0
28,4.5283017596818675,0.022023772606524793,28.0
30,3.863225574507145,0.007137192254968849,30.0
32,3.2408029295000427,0.027592784206160258,32.0
34,2.6842472616749533,0.03879823789183379,34.0
36,2.0395032391274563,0.068535902295722,36.0
38,1.5398818067632676,0.07054900229667944,38.0
40,1.2180812854258576,0.05886731152652839,40.0
